n_features,cv_accuracy
13,0.9241758241758242
12,0.9241758241758242
11,0.9241758241758242
10,0.8945054945054945
9,0.9241758241758242
8,0.9252747252747253
7,0.90989010989011
6,0.9252747252747253
5,0.9252747252747253
4,0.9406593406593406
3,0.9538461538461538
2,0.9252747252747253
1,0.8637362637362637
