feature,f_score,mutual_info,f_score_norm,mi_norm,combined_score
age,74.35578322146979,0.3896650953464944,1.0,1.0,1.0
thalach,56.264599197693464,0.3561660994941849,0.7557755975980328,0.9140313149615779,0.8349034562798053
ca,33.09448813261351,0.2498960022607104,0.4429875279493349,0.6413096919509821,0.5421486099501585
chol,13.464012686130507,0.32792258644183025,0.17798325136450907,0.8415498086895311,0.5097665300270201
thal,28.717876568643465,0.13403615171161976,0.38390486413079455,0.34397782432227697,0.3639413442265358
cp,14.073962115037899,0.12137549274502213,0.1862173467434822,0.3114866950992717,0.24885202092137693
restecg,10.164776643067473,0.09874633071077987,0.13344476510837794,0.2534133333727866,0.19342904924058227
oldpeak,13.357664211319488,0.08030849750021929,0.17654758564617096,0.20609620532936906,0.19132189548777
trestbps,3.53437454849451,0.12028390508926323,0.043936749098830864,0.30868534679069853,0.1763110479447647
slope,14.271181677673173,0.053608381662403115,0.18887973908680672,0.13757552909565576,0.16322763409123126
sex,3.5543654893742938,0.07988652271327146,0.044206619527621026,0.20501328876335587,0.12460995414548845
exang,5.1211617001966445,0.061012999227448406,0.06535779834327278,0.15657804600947126,0.11096792217637202
fbs,0.279712829453141,0.0,0.0,0.0,0.0
